emoji_char,emoji_char_ascii,emjpd_emoji_name,emjpd_emoji_name_og,emjpd_aliases,emjpd_full_description,emjpd_shortcodes,emjpd_description_ref_emj,emjpd_usage_info,emjpd_description_main,emjpd_description_side
🎢,\U0001f3a2,roller_coaster,Roller Coaster,"['Rollercoaster', 'Theme Park']","A roller coaster in a theme park going down a dip in the ride. Three carriages can be seen with two people in each red carriage.

Roller Coaster was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':roller_coaster:\n(Github, Slack, Emojipedia)\n']",[],,A roller coaster in a theme park going down a dip in the ride. Three carriages can be seen with two people in each red carriage.,"Roller Coaster was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
💆‍♀️,\U0001f486\u200d\u2640\ufe0f,woman_getting_massage,Woman Getting Massage,[],"The Woman Getting Massage emoji is a ZWJ sequence combining 💆 Person Getting Massage, ‍ Zero Width Joiner and ♀️ Female Sign.
These display as a single emoji on supported platforms.

Woman Getting Massage was added to Emoji 4.0 in 2016.
","[':massage_woman:\n(Github)\n', ':woman_getting_massage:\n(Emojipedia)\n', ':woman-getting-massage:\n(Slack)\n']","['♀️', '💆']",,"The Woman Getting Massage emoji is a ZWJ sequence combining 💆 Person Getting Massage, ‍ Zero Width Joiner and ♀️ Female Sign.
These display as a single emoji on supported platforms.",Woman Getting Massage was added to Emoji 4.0 in 2016.
🛍️,\U0001f6cd\ufe0f,shopping_bags,Shopping Bags,[],"Two colorful shopping bags, as contain consumer items bought at a department store. Depicted as gift bags in various bright colors, patterns, sizes, and positions across platforms. Apple's design, for instance, features a pink bag with light-pink dots in front of a gold bag with yellow stripes.
Commonly used for various content concerning retail shopping, stores, goods, and gifts or presents. May also convey a sense of indulgence or self-care, à la retail therapy.
Microsoft’s design previously featured a bag of groceries and now includes tissue paper.

Shopping Bags was approved as part of Unicode 7.0 in 2014
and added to Emoji 1.0 in 2015.
","[':shopping_bags:\n(Slack, Emojipedia)\n', ':shopping:\n(Github)\n']",[],"Commonly used for various content concerning retail shopping, stores, goods, and gifts or presents. May also convey a sense of indulgence or self-care, à la retail therapy.","Two colorful shopping bags, as contain consumer items bought at a department store. Depicted as gift bags in various bright colors, patterns, sizes, and positions across platforms. Apple's design, for instance, features a pink bag with light-pink dots in front of a gold bag with yellow stripes.
Commonly used for various content concerning retail shopping, stores, goods, and gifts or presents. May also convey a sense of indulgence or self-care, à la retail therapy.
Microsoft’s design previously featured a bag of groceries and now includes tissue paper.","Shopping Bags was approved as part of Unicode 7.0 in 2014
and added to Emoji 1.0 in 2015."
🚃,\U0001f683,railway_car,Railway Car,"['Railcar', 'Railroad Car', 'Railway Carriage', 'Railway Wagon']","A railway (railroad) car (carriage) that is generally pulled along a railway line by a locomotive. Shown with a pantograph above the carriage on many platforms which makes it look more like a tram car.
Google’s artwork previously looked like a bus and Microsoft's older versions appeared similar to a minecart.

Railway Car was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':railway_car:\n(Github, Slack, Emojipedia)\n']",[],,"A railway (railroad) car (carriage) that is generally pulled along a railway line by a locomotive. Shown with a pantograph above the carriage on many platforms which makes it look more like a tram car.
Google’s artwork previously looked like a bus and Microsoft's older versions appeared similar to a minecart.","Railway Car was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🇸🇷,\U0001f1f8\U0001f1f7,flag-_suriname,Flag: Suriname,['Surinamer Flag'],"The flag for Suriname, which may show as the letters SR on some platforms.
The Flag: Suriname emoji is a flag sequence combining 🇸 Regional Indicator Symbol Letter S and 🇷 Regional Indicator Symbol Letter R.
These display as a single emoji on supported platforms.

Flag: Suriname was added to Emoji 1.0 in 2015.
","[':flag-sr:\n(Slack)\n', ':suriname:\n(Github)\n', ':flag_suriname:\n(Emojipedia)\n']",[],,"The flag for Suriname, which may show as the letters SR on some platforms.
The Flag: Suriname emoji is a flag sequence combining 🇸 Regional Indicator Symbol Letter S and 🇷 Regional Indicator Symbol Letter R.
These display as a single emoji on supported platforms.",Flag: Suriname was added to Emoji 1.0 in 2015.
👩‍💼,\U0001f469\u200d\U0001f4bc,woman_office_worker,Woman Office Worker,"['Businesswoman', 'CEO']","A woman wearing business attire. This may include items such as a shirt, blouse, tie, jacket, or headset.
The Woman Office Worker emoji is a ZWJ sequence combining 👩 Woman, ‍ Zero Width Joiner and 💼 Briefcase.
These display as a single emoji on supported platforms.

Woman Office Worker was added to Emoji 4.0 in 2016.
","[':woman_office_worker:\n(Github, Emojipedia)\n', ':female-office-worker:\n(Slack)\n']","['💼', '👩']",,"A woman wearing business attire. This may include items such as a shirt, blouse, tie, jacket, or headset.
The Woman Office Worker emoji is a ZWJ sequence combining 👩 Woman, ‍ Zero Width Joiner and 💼 Briefcase.
These display as a single emoji on supported platforms.",Woman Office Worker was added to Emoji 4.0 in 2016.
🇲🇶,\U0001f1f2\U0001f1f6,flag-_martinique,Flag: Martinique,"['Martiniquais\xa0Flag', 'Snake Flag of\xa0Martinique']","The flag for Martinique, which may show as the letters MQ on some platforms.
Most platforms display the historical snake flag of Martinique instead of the Flag For France, which is the official flag of Martinique. As of 2021, the newer Ipséité flag is yet to be in use by major vendors.
The Flag: Martinique emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇶 Regional Indicator Symbol Letter Q.
These display as a single emoji on supported platforms.

Flag: Martinique was added to Emoji 1.0 in 2015.
","[':flag-mq:\n(Slack)\n', ':martinique:\n(Github)\n', ':flag_martinique:\n(Emojipedia)\n']",[],,"The flag for Martinique, which may show as the letters MQ on some platforms.
Most platforms display the historical snake flag of Martinique instead of the Flag For France, which is the official flag of Martinique. As of 2021, the newer Ipséité flag is yet to be in use by major vendors.
The Flag: Martinique emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇶 Regional Indicator Symbol Letter Q.
These display as a single emoji on supported platforms.",Flag: Martinique was added to Emoji 1.0 in 2015.
👨‍🌾,\U0001f468\u200d\U0001f33e,man_farmer,Man Farmer,[],"The Man Farmer emoji is a ZWJ sequence combining 👨 Man, ‍ Zero Width Joiner and 🌾 Sheaf of Rice.
These display as a single emoji on supported platforms.

Man Farmer was added to Emoji 4.0 in 2016.
","[':man_farmer:\n(Github, Emojipedia)\n', ':male-farmer:\n(Slack)\n']","['👨', '🌾']",,"The Man Farmer emoji is a ZWJ sequence combining 👨 Man, ‍ Zero Width Joiner and 🌾 Sheaf of Rice.
These display as a single emoji on supported platforms.",Man Farmer was added to Emoji 4.0 in 2016.
👩‍👧‍👧,\U0001f469\u200d\U0001f467\u200d\U0001f467,"family-_woman,_girl,_girl","Family: Woman, Girl, Girl",[],"The Family: Woman, Girl, Girl emoji is a ZWJ sequence combining 👩 Woman, ‍ Zero Width Joiner, 👧 Girl, ‍ Zero Width Joiner and 👧 Girl.
These display as a single emoji on supported platforms.

Family: Woman, Girl, Girl was added to Emoji 4.0 in 2016.
","[':family_woman_girl_girl:\n(Github, Emojipedia)\n', ':woman-girl-girl:\n(Slack)\n']","['👧', '👩']",,"The Family: Woman, Girl, Girl emoji is a ZWJ sequence combining 👩 Woman, ‍ Zero Width Joiner, 👧 Girl, ‍ Zero Width Joiner and 👧 Girl.
These display as a single emoji on supported platforms.","Family: Woman, Girl, Girl was added to Emoji 4.0 in 2016."
⭕,\u2b55,hollow_red_circle,Hollow Red Circle,"['Circle', 'Correct', 'Red Circle']","Used as an alternative to a check (tick) in Japan for a something that is correct. The opposite of an X (cross mark) for something wrong.

Hollow Red Circle was approved as part of Unicode 5.2 in 2009
under the name “Heavy Large Circle”
and added to Emoji 1.0 in 2015.
","[':o:\n(Github, Slack)\n', ':hollow_red_circle:\n(Emojipedia)\n']",[],,Used as an alternative to a check (tick) in Japan for a something that is correct. The opposite of an X (cross mark) for something wrong.,"Hollow Red Circle was approved as part of Unicode 5.2 in 2009
under the name “Heavy Large Circle”
and added to Emoji 1.0 in 2015."
📌,\U0001f4cc,pushpin,Pushpin,['Thumb Tack'],"A thumbtack (drawing pin), as used to pin documents on a bulletin (notice) board. Depicted at a 45° angle with its red, flat head to the upper right.
Often used as an icon for Pinterest or metaphorically pinning content online. Not to be confused with 📍 Round Pushpin, though their applications may overlap.

Pushpin was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':pushpin:\n(Github, Slack, Emojipedia)\n']",['📍'],"Often used as an icon for Pinterest or metaphorically pinning content online. Not to be confused with 📍 Round Pushpin, though their applications may overlap.","A thumbtack (drawing pin), as used to pin documents on a bulletin (notice) board. Depicted at a 45° angle with its red, flat head to the upper right.
Often used as an icon for Pinterest or metaphorically pinning content online. Not to be confused with 📍 Round Pushpin, though their applications may overlap.","Pushpin was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🦚,\U0001f99a,peacock,Peacock,[],"A peacock, the male bird that displays a large, fan-like, iridescent tale. Depicted facing forward standing on its legs, with a blue body and green tail feathers outspread.
Sometimes used to suggest something is beautiful or proud. Also sometimes used to accent a peacock-like color or pattern.

Peacock was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018.
","[':peacock:\n(Github, Slack, Emojipedia)\n']",[],,"A peacock, the male bird that displays a large, fan-like, iridescent tale. Depicted facing forward standing on its legs, with a blue body and green tail feathers outspread.
Sometimes used to suggest something is beautiful or proud. Also sometimes used to accent a peacock-like color or pattern.","Peacock was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018."
🚱,\U0001f6b1,non-potable_water,Non-Potable Water,"['No Drinking Water', 'No Water']","A water tap with a red stroke through it, indicating that water is not safe for drinking (non-potable).
May be used at a camp site or other area that has water suitable for cleaning or other non-drinking purposes.

Non-Potable Water was approved as part of Unicode 6.0 in 2010
under the name “Non-Potable Water Symbol”
and added to Emoji 1.0 in 2015.
","[':non-potable_water:\n(Github, Slack)\n', ':non_potable_water:\n(Emojipedia)\n']",[],May be used at a camp site or other area that has water suitable for cleaning or other non-drinking purposes.,"A water tap with a red stroke through it, indicating that water is not safe for drinking (non-potable).
May be used at a camp site or other area that has water suitable for cleaning or other non-drinking purposes.","Non-Potable Water was approved as part of Unicode 6.0 in 2010
under the name “Non-Potable Water Symbol”
and added to Emoji 1.0 in 2015."
🏳‍🟧‍⬛‍🟧,\U0001f3f3\u200d\U0001f7e7\u200d\u2b1b\u200d\U0001f7e7,refugee_nation_flag,Refugee Nation Flag,[],"The flag for Refugee Nation; a proposal to create a new nation to resettle refugees. This flag uses a shade of orange commonly used for life vests and life buoys at sea. A thin, horizontal black stripe is shown in the lower-third.
Supported only on WhatsApp for Android and iOS as of June 2021.
The Refugee Nation Flag emoji is a ZWJ sequence combining 🏳️ White Flag, ‍ Zero Width Joiner, 🟧 Orange Square, ‍ Zero Width Joiner, ⬛ Black Large Square, ‍ Zero Width Joiner and 🟧 Orange Square.
These display as a single emoji on supported platforms.


🚩 This Emoji ZWJ Sequence has not been Recommended For General Interchange (RGI) by Unicode. Expect limited cross-platform support.",[],"['🏳️', '⬛', '🟧', '🚩']","The flag for Refugee Nation; a proposal to create a new nation to resettle refugees. This flag uses a shade of orange commonly used for life vests and life buoys at sea. A thin, horizontal black stripe is shown in the lower-third.","The flag for Refugee Nation; a proposal to create a new nation to resettle refugees. This flag uses a shade of orange commonly used for life vests and life buoys at sea. A thin, horizontal black stripe is shown in the lower-third.
Supported only on WhatsApp for Android and iOS as of June 2021.
The Refugee Nation Flag emoji is a ZWJ sequence combining 🏳️ White Flag, ‍ Zero Width Joiner, 🟧 Orange Square, ‍ Zero Width Joiner, ⬛ Black Large Square, ‍ Zero Width Joiner and 🟧 Orange Square.
These display as a single emoji on supported platforms.",🚩 This Emoji ZWJ Sequence has not been Recommended For General Interchange (RGI) by Unicode. Expect limited cross-platform support.
🧑‍🦳,\U0001f9d1\u200d\U0001f9b3,person-_white_hair,Person: White Hair,[],"The Person: White Hair emoji is a ZWJ sequence combining 🧑 Person, ‍ Zero Width Joiner and 🦳 White Hair.
These display as a single emoji on supported platforms.

Person: White Hair was added to Emoji 12.1 in 2019.
","[':person_white_hair:\n(Github, Emojipedia)\n', ':white_haired_person:\n(Slack)\n']",['🧑'],,"The Person: White Hair emoji is a ZWJ sequence combining 🧑 Person, ‍ Zero Width Joiner and 🦳 White Hair.
These display as a single emoji on supported platforms.",Person: White Hair was added to Emoji 12.1 in 2019.
